id_cliente,nome,email,documento,telefone
1,CONNECTSOFT,connectsoft@connectsoft.com.br,3609246000153,(85) 3055.1739
3,A.E.S FARIAS PECAS LTDA,ADM.BUSCARFOR@GMAIL.COM,6956958000137,(85) 3046-1100
4,ABIG PNEUS E AUTOPEÇAS EIRELI,,183769000192,
5,ACERT SOLUCOES CONSTRUTIVAS LTDA,,44428444000106,
6,ADAIL CUSTODIO DA SILVA ME,,,
7,AES FARIAS PECAS - ME,,,
8,AFIO TEXTIL COM. DE ACESSORIOS,,,
9,ARTHUR AUTO PEÇAS,arthurpecas1@gmail.com,3117210000152,(85) 8700-4279
10,ASM IND E COM ARTEF. COURO LTD,,,
11,AUTO PECAS BARAK,,99999999000199,
12,AUTO PECAS BOM PREÇO,apbompreco@outlook.com,29819663000114,
13,AUTO PECAS ECONOMICA LTDA ME,,18702272000107,
14,AUTO PECAS MENEZES LTDA,AUTOPECAS.MENEZES@HOTMAIL.COM,52267485000188,
15,AUTO PECAS RM ME,RMREPRESENTACOES25@GMAIL.COM,30060372000174,
16,AUTO PECAS SANTA RITA LTDA – FILIAL,AUTOPECASANTARITA@OUTLOOK.COM,22870276000244,(85) 3104-1690
17,AUTO PECAS SANTA RITA LTDA – MATRIZ,AUTOPECASANTARITA@OUTLOOK.COM,22870276000163,(85) 3104-1690
18,AUTO PECAS SANTO ANTONIO,,,
19,AUTOPECAS PARACURU LTDA,MAUROSANTOANTONIO@GMAIL.COM,58437808000110,
20,BUS CAR REFRIGERACAO AUTOMOTIV,,17241846000116,
22,BUSCAPECAS COMERCIO DE PECAS LTDA,,56100410000169,
23,CARREIRO AUTO PECAS LTDA - CAMPO MAIOR FL,VALMIRCARREIRO@HOTMAIL.COM,14634245000509,
24,CARREIRO AUTO PECAS LTDA - PEDRO II,,14634245000266,(88) 9727-0713
25,CARREIRO AUTO PECAS LTDA - PIRIPIRI,,99999999000199,
26,CARREIRO AUTO PECAS LTDA - PORANGA,,14634245000185,
27,CENTER AR REFRIG. COM. & IMP,,3296643000112,
28,CENTRAL NORDESTE DE PECAS LTDA - ATACADO,,,
29,CENTRAL NORDESTE DE PECAS LTDA - BARBALHA,,1837729000341,
30,CENTRAL NORDESTE DE PECAS LTDA - FORTALEZA,,1837729000180,
31,CENTRAL NORDESTE DE PECAS LTDA - MOSSORO,,1837729000422,
32,CENTRAL NORDESTE DE PECAS LTDA - RECIFE,,1837729000260,
33,CENTRO AUTOMOTIVO NOBRE PECAS,,32031630000110,
34,CENTRO AUTOMOTIVO NOBRE PECAS - FILIAL,,,
35,CORDEIRO CRESPO,,,
36,EALI AUTO PECAS LTDA,,7991375000100,
37,ECONOMICA FILIAL MESSEJANA,,18702272000280,
38,ESUTRA EQUIP. AGROP. E REPRES,,2035250000192,
39,FELIPE PECAS LTDA,felipepecas482@gmail.com,55235388000100,(98) 8435-4429
40,FELIPE PECAS LTDA (FILIAL),CONZED39@MSN.COM,55235388000282,(98) 8435-4429
41,FLAVIO MARCIO COMERCIO DE PECAS,,,
42,FORTBYTE,,,
43,FORTLOG COMERCIO E SERVICOS D,,,
44,FRANCISCO VALDERIR DO NASCIMENTO,,,
45,FRANDIESEL SERVICOS E PECAS DI,,,
46,H V M DISTRIBUIDORA DE FERRAGENS E PARAFUSOS,NILTON-BARRETO@HOTMAIL.COM,55131576000180,
47,IVANPREL,,,
48,J O DA COSTA SERVICOS DE MECANICA LTDA,,52681370000135,(xx) 88367-1149
49,J R BEZERRA DE OLIVEIRA,,99999000199,
50,J. O. Da Costa Veiculos,,,
51,JNP LIMA MACEDO LTDA,JESSICA.RMREPRESENTACOES@GMAIL.COM,51191926000142,(85) 8166-5778
52,JOAO FERREIRA SANDES LTDA,jcarautocenter08@gmail.com,1669395000182,
53,Jose Marcelino Rios Souza,,,
55,JURANDIR SILVA COELHO,,,
56,LIMA CAR AUTO CENTER,EBIDENEGUISRODRIGUES@GMAIL.COM,47639142000167,
57,M M MESQUITA DE SOUSA EPP,,,
58,MAPI DISTRIBUIDORA AUTOMOTIVA,,,
59,MARCONES MENDES DA SILVA - MDN JOIAS,mmfolheados82@gmail.com,49293252000145,
60,MARCONES MENDES DA SILVA BIJUTERIAS - VIOLETA JOIAS,daianasouzamg@gmail.com,18067483000107,(85) 3290-7576
61,MARIA JOSE DE OLIVEIRA RETIFIC,,,
62,MARIA JOSE DE OLIVEIRA RETIFIC,,,
63,MECANICAR,,,
64,NUCLEO INFORMATICA COM E SERV,,,
65,OFICINA AUTOMOTIVA MARCOS LTDA,,,
66,OLIVEIRA MOTO PECAS EIRELI,,,
67,PAPELARIA RAMOS,,,
68,PHL RODRIGUES,,,
69,PHL SILVA - CASCAVEL,,,
70,R E PIRES DE SOUSA FILHO - EPP,,,
71,R3 SERVICOS AUTOMOTIVOS,,,
72,REYNALDO AUTO PECAS ME,REINALDO-CANDIDO2016@HOTMAIL.COM,26017641000142,
73,SAMUEL JACOB DA SILVA NETO,,,
74,SAN MICHEL - FLAVIO MARCIO COMERCIO DE PECAS AUTOMOTIVAS LTDA,saovicentepl@gmail.com,10992262000133,
75,SAVIO COMPONENTES LTDA,,,
76,SIGMA TRANSP DE CARGAS E SER.,,,
77,SOMAUTO COMERCIO DE PECAS E ACESSORIOS,,,
78,TECNOSPEED,,,
79,TERMOTECNICA,,,
